individual,sex,habitat,site,replicate,name
65,M,natural,S,3,
66,M,natural,S,1,
66,M,natural,S,2,
66,M,natural,S,3,
67,M,natural,S,1,
67,M,natural,S,2,
67,M,natural,S,3,
68,M,natural,S,1,
68,M,natural,S,2,
68,M,natural,S,3,
69,M,natural,S,1,
69,M,natural,S,2,
69,M,natural,S,3,
70,M,natural,S,1,
70,M,natural,S,2,
70,M,natural,S,3,
71,F,natural,S,1,
71,F,natural,S,2,
71,F,natural,S,3,
72,F,natural,S,1,
72,F,natural,S,2,
72,F,natural,S,3,
73,M,natural,S,1,
73,M,natural,S,2,
73,M,natural,S,3,
74,M,natural,S,1,
74,M,natural,S,2,
74,M,natural,S,3,
75,F,natural,S,1,
75,F,natural,S,2,
75,F,natural,S,3,
76,F,natural,S,1,
76,F,natural,S,2,
76,F,natural,S,3,
77,M,natural,S,1,
77,M,natural,S,2,
77,M,natural,S,3,
78,F,natural,S,1,
78,F,natural,S,2,
78,F,natural,S,3,
79,F,natural,S,1,
79,F,natural,S,2,
79,F,natural,S,3,
80,F,natural,S,1,
80,F,natural,S,2,
80,F,natural,S,3,
81,F,natural,S,1,
81,F,natural,S,2,
81,F,natural,S,3,
82,M,natural,S,1,
82,M,natural,S,2,
82,M,natural,S,3,
83,M,natural,S,1,
83,M,natural,S,2,
83,M,natural,S,3,
84,F,natural,S,1,
84,F,natural,S,2,
84,F,natural,S,3,
85,F,natural,S,1,
85,F,natural,S,2,
85,F,natural,S,3,
86,F,natural,S,1,
86,F,natural,S,2,
86,F,natural,S,3,
87,F,natural,S,1,
87,F,natural,S,2,
87,F,natural,S,3,
88,F,natural,S,1,
88,F,natural,S,2,
88,F,natural,S,3,
89,F,natural,S,1,
89,F,natural,S,2,
89,F,natural,S,3,
90,M,natural,S,1,
90,M,natural,S,2,
90,M,natural,S,3,
91,F,natural,S,1,
91,F,natural,S,2,
91,F,natural,S,3,
92,F,natural,S,1,
92,F,natural,S,2,
92,F,natural,S,3,
